epoch;loss_train;accuracy_train;learning_rate;elapsed;loss_val;accuracy_val
0;1.3510;31.63;0.1;04:41;1.0961;47.08
1;0.9997;52.50;0.1;04:37;0.9267;58.14
2;0.8424;60.92;0.1;04:37;0.9150;58.29
3;0.7323;66.50;0.1;04:37;0.8948;61.33
4;0.6529;70.35;0.1;04:37;0.6514;71.31
5;0.5867;73.88;0.1;04:37;0.5450;75.99
6;0.5444;75.72;0.1;04:37;0.5652;74.59
7;0.5128;77.25;0.1;04:37;0.5003;78.91
8;0.4900;78.13;0.1;04:37;0.5342;76.85
9;0.4734;79.07;0.1;04:37;0.4946;77.66
10;0.4648;79.40;0.1;04:37;0.5796;75.03
11;0.4481;80.28;0.1;04:37;0.5092;78.44
12;0.4392;80.55;0.1;04:37;0.4240;81.50
13;0.4280;81.10;0.1;04:37;0.4317;81.18
14;0.4147;81.90;0.1;04:37;0.4124;82.63
15;0.4082;82.06;0.1;04:37;0.6451;72.56
16;0.4048;82.45;0.1;04:37;0.4926;78.32
17;0.3959;82.56;0.1;04:37;0.4223;81.66
18;0.3894;82.95;0.1;04:37;0.3955;82.92
19;0.3774;83.47;0.1;04:37;0.3898;82.81
20;0.3764;83.59;0.1;04:37;0.5650;74.77
21;0.3781;83.24;0.1;04:37;0.3931;82.59
22;0.3737;83.87;0.1;04:37;0.3744;83.71
23;0.3626;84.38;0.1;04:37;0.4255;80.35
24;0.3605;84.15;0.1;04:37;0.3639;84.21
25;0.3585;84.40;0.1;04:37;0.4055;82.02
26;0.3546;84.59;0.1;04:37;0.4279;81.59
27;0.3471;84.92;0.1;04:37;0.4046;82.90
28;0.3487;84.89;0.1;04:37;0.3685;84.83
29;0.3463;84.89;0.1;04:35;0.3080;86.80
30;0.3407;85.16;0.1;04:29;0.3847;83.85
31;0.3438;85.08;0.1;04:29;0.3397;85.66
32;0.3330;85.59;0.1;04:28;0.3104;86.69
33;0.3372;85.35;0.1;04:28;0.3369;85.73
34;0.3327;85.52;0.1;04:28;0.4509;80.50
35;0.3330;85.63;0.1;04:29;0.4158;82.01
36;0.3205;86.04;0.1;04:28;0.3553;84.81
37;0.3298;85.72;0.1;04:28;0.3181;85.87
38;0.3293;85.77;0.1;04:29;0.4473;81.26
39;0.3244;85.96;0.1;04:28;0.4122;81.91
40;0.3192;86.08;0.1;04:28;0.3681;84.26
41;0.3224;86.08;0.1;04:29;0.4118;82.70
42;0.3192;86.21;0.1;04:29;0.3602;83.96
43;0.3183;86.17;0.1;04:28;0.4741;80.20
44;0.3172;86.28;0.1;04:29;0.4233;81.31
